vehicle_brand,vehicle_type,battery_chemistry,drive_type,cycle_count,odometer_km,vehicle_age_years,capacity_loss_percent,cell_voltage_std,internal_resistance,thermal_runaway_risk,battery_stress_index,daily_distance,manufacturing_year,battery_capacity_kwh,depth_of_discharge,battery_failure
Nissan,SUV,,AWD,544.0,195563.0,11.17,48.64,0.03349,0.8556,67.6,4.7,59.6,,71.45,11.48,1
Tata,Truck,NMC,FWD,1.0,500.0,9.91,0.2,0.01395,0.4191,48.3,41.4,3.0,2016.0,113.53,42.52,0
Ford,Sedan,NMC,,584.0,191310.0,6.23,31.01,0.02689,0.6125,58.8,40.5,111.0,2020.0,67.4,11.89,1
Tesla,Sedan,NCA,RWD,,107869.0,7.8,17.07,0.0258,0.4472,60.9,41.0,53.4,2018.0,77.72,54.0,0
GM,Hatchback,LFP,RWD,1.0,4970.0,5.96,2.86,0.01572,0.5883,28.4,58.4,3.0,2020.0,49.02,49.09,0
Lucid,Crossover,NMC,FWD,370.0,152674.0,7.18,24.73,0.02125,0.6984,65.2,63.0,69.5,2019.0,80.97,33.87,1
GM,Van,,RWD,578.0,265467.0,,27.94,0.03,0.6386,55.9,22.6,79.0,2015.0,85.15,18.57,1
BYD,Sedan,NMC,FWD,740.0,251227.0,7.99,34.55,0.03337,0.6586,65.5,62.1,108.3,2018.0,68.33,36.58,1
Hyundai,Hatchback,NMC,AWD,871.0,225959.0,9.86,35.89,0.03783,0.6443,63.0,56.9,78.2,2016.0,52.83,41.53,1
Volkswagen,Sedan,NMC,RWD,1168.0,279968.0,10.05,50.95,0.03443,0.8176,77.4,66.2,90.1,2016.0,51.59,48.75,1
Ford,Sedan,NMC,AWD,549.0,185685.0,6.63,28.16,0.02897,0.6385,70.8,52.6,91.5,2019.0,68.15,36.3,0
BMW,SUV,,FWD,1.0,4176.0,3.29,0.2,,0.3743,,35.3,3.0,2023.0,87.95,36.78,0
Kia,Truck,NMC,RWD,420.0,262782.0,6.92,28.99,0.02431,0.6705,59.4,77.1,132.6,2019.0,136.25,49.63,1
Tesla,Hatchback,NMC,RWD,1479.0,385104.0,10.04,52.32,0.04173,0.7854,67.8,55.5,127.8,2016.0,52.72,50.44,1
